Employee Id,Employee Name,Corporate Id,Email Id,Employee Status
663250,Carissa Lyons,68807151399,felis.purus@convallis.com,Inactive
683515,Galvin Webster,06200724099,dui@tempus.ca,Active
179663,Leandra Williams,90856342099,sed.libero@Maecenasliberoest.edu,Terminated
111791,Victor Horton,06365520199,dolor@sociisnatoquepenatibus.ca,Terminated
609388,Olympia Clemons,21821601699,Duis.elementum.dui@laciniaatiaculis.org,Terminated
625208,Marny Webb,17376178699,amet.faucibus@nisidictum.net,Active
103515,Jackson Le,24335914599,libero.mauris.aliquam@sed.org,Active
246381,Odessa Randall,99584735399,leo.Vivamus@pede.edu,Terminated
136420,Kermit Herrera,60444512599,erat@vitaeposuereat.ca,Inactive
940036,Owen Booker,86593246899,urna@ad.ca,Terminated
834246,Georgia Hampton,19914673799,sapien@Phasellus.org,Terminated
458704,Hilda Wolf,46274206899,magna@IncondimentumDonec.org,Inactive
157169,Abdul Martinez,70881042199,nunc.id.enim@Quisquetincidunt.org,Inactive
324699,Hall Hansen,51350652799,at.lacus@auctorquistristique.com,Active
414061,Kiayada Carter,43740285899,Donec.egestas.Duis@massa.net,Inactive
456815,Ralph Santiago,75401591699,sollicitudin.a@euismodin.com,Inactive
953701,Lyle Perkins,84446783599,vulputate.risus@ProinultricesDuis.com,Inactive
422427,Uriel Leonard,08803943499,non@Utnecurna.ca,Inactive
296342,Amal Moses,10501228699,ac.sem.ut@urna.com,Active
996782,Ava Campos,81633538499,eu.erat@Fusce.co.uk,Inactive
820692,Casey Gilmore,73682895399,Suspendisse.sed.dolor@loremauctor.co.uk,Terminated
337161,Baker Snow,79541533899,vel.lectus@Loremipsumdolor.com,Active
193639,Maite Morrison,20778294899,consequat@convallis.co.uk,Inactive
251747,Cecilia Potter,24645527499,Suspendisse.sed@dignissim.co.uk,Terminated
408078,Cullen Vasquez,17527959399,magna.Suspendisse@Donecluctusaliquet.net,Active
645545,Bruce Pacheco,94987665699,enim@vitae.ca,Inactive
943493,Garrison Nelson,18469528599,luctus.et@non.edu,Active
582053,Graham Graves,15619343099,purus@augue.com,Active
351212,Gisela Kinney,20877697599,Integer.in@Sednec.net,Terminated
247965,Rachel Contreras,53255591199,molestie@Phasellus.org,Terminated
512462,Luke Huff,42775607299,congue@malesuadaid.net,Terminated
690099,Emerald Gamble,80728306199,eget.volutpat.ornare@natoquepenatibus.edu,Inactive
154817,Olympia Kramer,46417674099,mollis.Integer@risusDonecegestas.co.uk,Active
773933,Kylynn Franks,18299408399,id@Donecfringilla.edu,Terminated
456436,Kameko Mason,52293108799,risus.Quisque@CuraePhasellus.com,Inactive
981128,Shaine Sharp,89943728299,nibh.Aliquam.ornare@nibh.org,Terminated
662006,Emily Barton,47373467299,risus.Morbi.metus@dapibusidblandit.edu,Active
245378,Coby Travis,14517397099,vulputate@molestietortornibh.ca,Inactive
511549,Aaron Mcneil,09504746199,diam.Proin@Etiamvestibulum.ca,Inactive
989960,Kiona Walker,04851298499,Duis.elementum@dapibusligula.net,Terminated
202846,Baker Ewing,66748614999,ipsum.Donec.sollicitudin@sedleoCras.ca,Terminated
357512,Lucian Jarvis,54244855299,orci.Phasellus.dapibus@atnisiCum.net,Active
294919,Barry Weaver,79432812699,ipsum.nunc@dolorsit.org,Inactive
938581,Rhiannon Craig,16919791999,metus@luctusutpellentesque.com,Active
188453,Stephen Pate,17727035299,Nunc@luctusvulputatenisi.com,Active
413549,Ariana Davidson,87774382699,amet@tinciduntorci.co.uk,Active
247947,Brett Moss,51481766799,sem.Pellentesque@enimcommodo.org,Inactive
231734,Darryl Mcmillan,91747399799,Donec.est.Nunc@sitametorci.org,Active
388991,Chastity Cameron,18908954799,felis@congueInscelerisque.net,Inactive
368791,Burke Gibbs,73741718999,Nunc@Quisquelibero.com,Inactive
354635,Judah Fitzgerald,53414122599,vel.quam@lacusQuisquepurus.edu,Terminated
222539,Kaden Gates,07200667699,Vestibulum@metusfacilisislorem.co.uk,Active
446650,Ebony Wilder,47956611599,eget.metus.In@lectusNullam.org,Active
461753,Noelle Sellers,58842411999,erat.semper.rutrum@tellus.org,Terminated
370449,Courtney Munoz,01680162199,dapibus.ligula.Aliquam@maurissapiencursus.ca,Terminated
141558,Davis Clarke,59891898299,semper.cursus.Integer@idantedictum.ca,Inactive
138701,Blaine Michael,08561862699,fermentum.fermentum.arcu@laoreetlectusquis.com,Inactive
212415,Maite Hammond,71822714999,condimentum@nuncsit.co.uk,Inactive
330355,Charde Pena,81877870599,dictum.eu.eleifend@Nullafacilisis.org,Inactive
242622,Jin Kane,24839984799,dapibus.ligula.Aliquam@vitaediamProin.org,Active
336962,Tanisha Mcbride,29921776299,sem.ut@egetvariusultrices.ca,Terminated
740594,Nita Strong,45201959299,non.ante@acsemut.ca,Active
954524,Eagan Acevedo,41460285899,Suspendisse.commodo.tincidunt@quam.net,Inactive
867105,Neve Simmons,83978694799,penatibus@dui.net,Inactive
130157,Michelle Frederick,47319782699,sem@Praesentinterdumligula.ca,Active
540551,Moses Adkins,25923854499,lacinia.Sed.congue@nisinibhlacinia.ca,Inactive
776143,Ora Conway,75748793699,tempor@Lorem.org,Inactive
539901,Summer Molina,52482285299,Cras.dictum@enimEtiamimperdiet.ca,Terminated
507609,Inga Medina,62499202699,rhoncus.Nullam.velit@fringillaornare.org,Inactive
268388,Reed Anthony,19814606499,eget.venenatis@semut.ca,Inactive
386793,Shaine Bates,11973767199,faucibus@nibhlacinia.net,Active
974393,Rina Madden,05663116299,est.mauris.rhoncus@nulla.co.uk,Terminated
438229,Veronica Glass,48232668999,et.lacinia@Nullamutnisi.org,Inactive
548696,Wang Bird,27209746999,lacus.Ut@Namligulaelit.co.uk,Inactive
998308,Ralph Barnes,19812707199,Nam@acfeugiat.org,Active
986245,Timon Buckley,31968503599,fermentum.vel@mauris.edu,Active
643253,Teegan Zamora,05524984199,penatibus.et@odiosemper.com,Active
744506,Veda Johns,72210114299,Duis.volutpat@parturientmontesnascetur.org,Active
463538,Germane Hoffman,48244055499,Donec.tincidunt.Donec@ut.com,Active
208266,Katelyn Rosario,15381370099,eu.tellus@commodoauctor.org,Active
699432,Gary Sears,87845333499,orci@quismassa.net,Inactive
